Grain Name,Length Number,Apparent Length,Corr. Z Depth,True Length,Azimuth,Dip,Proj C len,Angle to C
Grain22,2,9.905556796,4.09,10.71672317,70.37481712,22.43570865,,71.91404758
Grain22,3,1.355285093,3.272,3.541578981,77.71366786,67.50032409,,85.32906685
Grain22,4,10.42075279,5.726,11.89029708,83.97191099,28.78793449,,84.71920162
Grain22,5,1.297831399,2.454,2.776055176,39.62860397,62.12726409,,68.89530659
Grain22,6,2.350667178,1.636,2.863936483,70.84367555,34.83686007,,74.37519112
Grain22,7,3.838292497,3.272,5.043656738,14.55345618,40.446344,,42.55778164
Grain22,8,1.677008729,2.454,2.972284353,36.01472322,55.65217211,,62.84658374
Grain22,9,2.37485993,2.454,3.414978139,75.54235607,45.9389351,,80.00148483
Grain22,10,5.700733489,4.09,7.016157232,65.29520926,35.65760647,,70.14840698
Grain22,11,8.190080125,3.272,8.81948958,61.15761567,21.77708879,,63.38617524
Grain22,12,4.577301397,6.544,7.985964192,32.25741058,55.02854329,,61.00686633
